Authors,Pub.Year,Journal,Species,Taxon.group,Year/Year.Span,Population,Study.ID,Subset,NC,CombNC,NC.type,Trait.Name,Trait.Class,Fitness.Measure.Defined,Fit.Comp,Grad.linear.value,Grad.linear.StErr,Same.Study,Birds,Physical.Artifact,Other.Org.NC,Multiple.Species,Borderline.ambiguous.case
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,1,N,N,NA,crop size: number of full-sized fruits produced,OtherMO,number of seeds dispersed,F,0.686,0.032097118,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,1,N,N,NA,crop size: number of full-sized fruits produced,OtherMO,number of seeds dispersed,F,1.162,0.025456335,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,2,N,N,NA,fruit width,OtherMO,number of seeds dispersed,F,0.27,0.035891851,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,2,N,N,NA,fruit width,OtherMO,number of seeds dispersed,F,0.714,0.033520143,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,3,N,N,NA,pulp/seed ratio: pulp dry weight divided by seed dry weight,OtherMO,number of seeds dispersed,F,0.187,0.033520143,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,3,N,N,NA,pulp/seed ratio: pulp dry weight divided by seed dry weight,OtherMO,number of seeds dispersed,F,-0.148,0.027511816,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,4,N,N,NA,ripening phenology (larger values indicate later starting of ripening season,Phen,number of seeds dispersed,F,0.436,0.032097118,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,4,N,N,NA,ripening phenology (larger values indicate later starting of ripening season,Phen,number of seeds dispersed,F,-0.068,0.02972541,0,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.722,0.0157,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.734,0.0188,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.8348,0.0839,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.6888,0.0149,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.6177,0.0063,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7722,0.1067,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7383,0.0962,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7427,0.0897,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0178,0.0463,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0697,0.0994,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0247,0.0596,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0162,0.0113,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.2201,0.0463,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.051,0.057,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.134,0.1511,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.1478,0.0646,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0068,0.0113,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0117,0.0153,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.1186,0.0726,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0019,0.0107,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.032,0.0352,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.0123,0.0687,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.3359,0.1374,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.1642,0.0584,1,0,0,1,1,0
